pregunta del cliente,Respuesta optimizada
¿Cómo puedo contactar al servicio de atención al cliente?,Podés escribirnos por este mismo canal y te respondemos rápido. ¿Querés contarme ahora en qué podemos ayudarte?
¿Puedo ver los productos antes de comprarlos?,Sí, podés venir a verlos en el showroom o pedirnos fotos y videos. ¿Preferís coordinar una visita o verlos por WhatsApp?
¿Dónde puedo ver el catálogo completo?,Te lo puedo mandar por WhatsApp o podés verlo en nuestra web. ¿Querés que te lo pase ahora?
¿Qué mantenimiento requieren los muebles de hierro?,Son resistentes, pero recomendamos cubrirlos si quedan a la intemperie y revisar que no estén rayados. ¿Querés una guía de cuidados?
¿Ofrecen servicio de instalación?,No ofrecemos instalación, pero te indicamos cómo colocarlo paso a paso. ¿Querés que te mande una guía para hacerlo fácil?
¿Realizan envíos a todo el país?,Sí, hacemos envíos a todo el país. En AMBA usamos flete propio, y al interior trabajamos con transporte de cargas. ¿Querés que calculemos el costo para tu zona?
¿Cuánto tiempo tarda en llegar mi pedido?,Si está en stock puede salir enseguida. Si es a pedido, la fabricación demora entre 10 y 20 días hábiles. ¿Querés que revise este modelo puntual para darte la fecha exacta?
¿Puedo retirar mi compra en algún local?,Sí, podés retirar por nuestro taller en Moreno con cita previa. ¿Querés que coordinemos día y horario o preferís que lo enviemos?
¿Cómo puedo calcular el costo de envío?,Necesito tu código postal y el producto para darte el costo exacto. ¿Querés que lo veamos juntos?
¿Cuáles son los métodos de pago disponibles?,Podés pagar por transferencia, efectivo o con tarjeta en 6 cuotas sin interés. Si es por transferencia en el interior, se completa el pago antes de despachar.
¿Realizan muebles a medida?,No fabricamos 100% a medida, pero sí adaptamos muchos modelos. ¿Querés contarme qué medida tenés y te digo si lo podemos hacer?
¿Qué debo hacer si mi producto llega dañado?,Escribinos apenas lo recibas con fotos. El reclamo lo hace el cliente con la empresa de transporte, pero te ayudamos en todo. ¿Querés que te guíe cómo hacerlo?
¿Puedo hacer una devolución si el producto no me convence?,Sí, dentro de los 7 días y si está sin uso. ¿Querés que lo revisemos juntos?
¿Ofrecen garantía en sus productos?,Sí, tenés 1 año de garantía por fallas de fabricación. ¿Querés saber cómo funciona el proceso si necesitás usarla?
¿Los precios publicados incluyen IVA?,Sí, todos los precios ya incluyen el IVA. ¿Querés factura A o B?
¿Cómo puedo realizar una compra en línea?,Es fácil: te ayudamos a elegir, te pasamos la cotización, coordinamos el pago y listo. ¿Querés que empecemos por el producto que te interesa?
¿Puedo cancelar o modificar mi pedido después de realizar la compra?,Depende en qué etapa esté. Si aún no entró a producción, sí. ¿Querés contarme qué necesitás cambiar y lo revisamos?
¿Puedo comprar directamente desde el sitio?,Sí, podés comprar desde la tienda online o por este mismo canal. ¿Querés que te pase el link o preferís que lo armemos juntos por WhatsApp?
¿Hacen muebles a medida?,No fabricamos muebles 100% a medida, pero sí podemos adaptar varios modelos en medidas o detalles. ¿Querés contarme qué tenés en mente?
¿Los muebles son aptos para exterior?,Algunos modelos están preparados para exterior, otros no. ¿Querés contarme cuál te interesa y lo reviso para confirmarte?
¿Tienen muebles para oficinas o locales comerciales?,Sí, tenemos muebles ideales para espacios de trabajo. ¿Querés que te muestre opciones según tu tipo de local?
¿Puedo pedir factura A?,Sí, emitimos factura A. Solo necesitamos tus datos fiscales antes de facturar.
¿Cuál es la política de cancelación de pedidos?,Podés cancelar dentro de las primeras 24hs. Después de eso, depende del estado del pedido. ¿Querés que lo revisemos?
¿Puedo modificar un pedido después de realizarlo?,Si aún no ingresó a producción, sí. ¿Querés contarme qué cambio necesitás hacer?
¿Qué pasa si un producto está agotado?,Podemos avisarte cuando vuelva o sugerirte una alternativa similar. ¿Querés que revisemos opciones?
¿Los colores de los muebles son personalizables?,Sí, tenemos varias opciones en pintura y telas. ¿Querés que te muestre los disponibles?
¿Los productos tienen garantía de satisfacción?,Si algo no te convence, lo charlamos y buscamos resolverlo. Nos importa que estés conforme.
¿Cómo cuido los muebles para que duren más?,Te recomendamos cubrirlos si van al exterior y limpiarlos con un paño húmedo. ¿Querés que te mande una guía de cuidados?
¿Venden accesorios o complementos?,Sí, tenemos fundas, almohadones, argollas y otros complementos. ¿Querés que te muestre lo que tenemos disponible?
¿Puedo pedir ayuda para elegir el producto adecuado?,Por supuesto, contanos qué necesitás y para qué espacio, y te ayudamos a elegir lo mejor.
¿Cómo sé si un mueble entra en mi espacio?,Podés enviarnos las medidas del ambiente o el modelo que te interesa y lo revisamos juntos.
¿Qué hago si me equivoqué en los datos del envío?,Si el pedido no fue despachado, lo corregimos sin problema. ¿Querés pasarme los datos correctos?
¿Se pueden realizar modificaciones en el pedido una vez confirmado?,Podemos revisar si todavía no ingresó a producción. ¿Qué necesitás cambiar?
¿Qué opciones de envío ofrecen?,En AMBA usamos flete propio. Al interior enviamos por transporte de cargas. ¿Querés que veamos cuál es mejor para tu zona?
¿Cómo puedo conocer el estado de mi pedido?,Escribinos con tu número de orden y te informamos en qué etapa está. Hacemos seguimiento personalizado.
¿Podés sumarle unos centímetros más al barral para que sobresalga?,Sí, podemos adaptar la medida. ¿Cuántos centímetros más necesitás?

